Hello
Hide Table  Update CSV
category;mcc;edited_description
123;0742;Veterinary Services
111;0763;Agricultural Co-operatives
111;0780;Horticultural Services, Landscaping Services
111;1520;General Contractors-Residential and Commercial
111;1711;Air Conditioning Contractors – Sales and Installation, Heating Contractors – Sales, Service, Installation
111;1731;Electrical Contractors
111;1740;Insulation – Contractors, Masonry, Stonework Contractors, Plastering Contractors, Stonework and Masonry Contractors, Tile Settings Contractors
111;1750;Carpentry Contractors
111;1761;Roofing – Contractors, Sheet Metal Work – Contractors, Siding – Contractors
111;1771;Contractors – Concrete Work
111;1799;Contractors – Special Trade, Not Elsewhere Classified
111;2741;Miscellaneous Publishing and Printing
111;2791;Typesetting, Plate Making, & Related Services
111;2842;Specialty Cleaning, Polishing, and Sanitation Preparations
111;3000;UNITED AIRLINES
111;3001;AMERICAN AIRLINES
111;3002;PAN AMERICAN
111;3003;Airlines
111;3004;TRANS WORLD AIRLINES
111;3005;BRITISH AIRWAYS
111;3006;JAPAN AIRLINES
111;3007;AIR FRANCE
111;3008;LUFTHANSA
111;3009;AIR CANADA
111;3010;KLM (ROYAL DUTCH AIRLINES)
111;3011;AEORFLOT
111;3012;QUANTAS
111;3013;ALITALIA
111;3014;SAUDIA ARABIAN AIRLINES
undefined;3015;SWISSAIR
undefined;3016;SAS
undefined;3017;SOUTH AFRICAN AIRWAYS
undefined;3018;VARIG (BRAZIL)
undefined;3019;Airlines
undefined;3020;AIR-INDIA
undefined;3021;AIR ALGERIE
undefined;3022;PHILIPPINE AIRLINES
undefined;3023;MEXICANA
undefined;3024;PAKISTAN INTERNATIONAL
undefined;3025;AIR NEW ZEALAND
undefined;3026;Airlines
undefined;3027;UTA/INTERAIR
undefined;3028;AIR MALTA
undefined;3029;SABENA
undefined;3030;AEROLINEAS ARGENTINAS
undefined;3031;OLYMPIC AIRWAYS
undefined;3032;EL AL
undefined;3033;ANSETT AIRLINES
undefined;3034;AUSTRAINLIAN AIRLINES
undefined;3035;TAP (PORTUGAL)
undefined;3036;VASP (BRAZIL)
undefined;3037;EGYPTAIR
undefined;3038;KUWAIT AIRLINES
undefined;3039;AVIANCA
undefined;3040;GULF AIR (BAHRAIN)
undefined;3041;BALKAN-BULGARIAN AIRLINES
undefined;3042;FINNAIR
